phrog_phrog	annot
phrog_57823	NA
phrog_57824	NA
phrog_57825	NA
phrog_57826	NA
phrog_57827	NA
phrog_57828	NA
phrog_57829	NA
phrog_57830	NA
phrog_57831	NA
phrog_57832	NA
phrog_57833	NA
phrog_57834	NA
phrog_57835	NA
phrog_57836	NA
phrog_57837	NA
phrog_57838	NA
phrog_57839	NA
phrog_57840	NA
phrog_57841	NA
phrog_57842	NA
phrog_57843	NA
phrog_57844	NA
phrog_57845	NA
phrog_57846	NA
phrog_57847	NA
phrog_57848	NA
phrog_57849	NA
phrog_57850	NA
phrog_57851	NA
phrog_57852	NA
phrog_57853	NA
phrog_57854	NA
phrog_57855	NA
phrog_57856	NA
phrog_57857	NA
phrog_57858	NA
phrog_57859	NA
phrog_57860	NA
phrog_57861	NA
phrog_57862	NA
phrog_57863	NA
phrog_57864	NA
phrog_57865	NA
phrog_57866	NA
phrog_57867	NA
phrog_57868	NA
phrog_57869	NA
phrog_57870	NA
phrog_57871	NA
phrog_57872	NA
phrog_57873	NA
phrog_57874	NA
phrog_57875	NA
phrog_57876	NA
phrog_57877	NA
phrog_57878	NA
phrog_57879	NA
phrog_57880	NA
phrog_57881	NA
phrog_57882	NA
phrog_57883	NA
phrog_57884	NA
phrog_57885	NA
phrog_57886	NA
phrog_57887	NA
phrog_57888	NA
phrog_57889	NA
phrog_57890	NA
phrog_57891	NA
phrog_57892	NA
phrog_57893	NA
phrog_57894	NA
phrog_57895	NA
phrog_57896	NA
phrog_57897	NA
phrog_57898	NA
phrog_57899	NA
phrog_57900	NA
phrog_57901	NA
phrog_57902	NA
phrog_57903	NA
phrog_57904	NA
phrog_57905	NA
phrog_57906	NA
phrog_57907	NA
phrog_57908	NA
phrog_57909	NA
phrog_57910	NA
phrog_57911	NA
phrog_57912	NA
phrog_57913	NA
phrog_57914	NA
phrog_57915	NA
phrog_57916	NA
phrog_57917	NA
phrog_57918	NA
phrog_57919	NA
phrog_57920	NA
phrog_57921	NA
phrog_57922	NA
phrog_57923	NA
phrog_57924	NA
phrog_57925	NA
phrog_57926	NA
phrog_57927	NA
phrog_57928	NA
phrog_57929	NA
phrog_57930	NA
phrog_57931	NA
phrog_57932	NA
phrog_57933	NA
phrog_57934	NA
phrog_57935	NA
phrog_57936	NA
phrog_57937	NA
phrog_57938	NA
phrog_57939	NA
phrog_57940	NA
phrog_57941	NA
phrog_57942	NA
phrog_57943	NA
phrog_57944	NA
phrog_57945	NA
phrog_57946	NA
phrog_57947	NA
phrog_57948	NA
phrog_57949	NA
phrog_57950	NA
phrog_57951	NA
phrog_57952	NA
phrog_57953	NA
phrog_57954	NA
phrog_57955	NA
phrog_57956	NA
phrog_57957	NA
phrog_57958	NA
phrog_57959	NA
phrog_57960	NA
phrog_57961	NA
phrog_57962	NA
phrog_57963	NA
phrog_57964	NA
phrog_57965	NA
phrog_57966	NA
phrog_57967	NA
phrog_57968	NA
phrog_57969	NA
phrog_57970	NA
phrog_57971	NA
phrog_57972	NA
phrog_57973	NA
phrog_57974	NA
phrog_57975	NA
phrog_57976	NA
phrog_57977	NA
phrog_57978	NA
phrog_57979	NA
phrog_57980	NA
phrog_57981	NA
phrog_57982	NA
phrog_57983	NA
phrog_57984	NA
phrog_57985	NA
phrog_57986	NA
phrog_57987	NA
phrog_57988	NA
phrog_57989	NA
phrog_57990	NA
phrog_57991	NA
phrog_57992	NA
phrog_57993	NA
phrog_57994	NA
phrog_57995	NA
phrog_57996	NA
phrog_57997	NA
phrog_57998	NA
phrog_57999	NA
phrog_58000	NA
phrog_58001	NA
phrog_58002	NA
phrog_58003	NA
phrog_58004	NA
phrog_58005	NA
phrog_58006	NA
phrog_58007	NA
phrog_58008	NA
phrog_58009	NA
phrog_58010	NA
phrog_58011	NA
phrog_58012	NA
phrog_58013	NA
phrog_58014	NA
phrog_58015	NA
phrog_58016	NA
phrog_58017	NA
phrog_58018	NA
phrog_58019	NA
phrog_58020	NA
phrog_58021	NA
phrog_58022	NA
phrog_58023	NA
phrog_58024	NA
phrog_58025	NA
phrog_58026	NA
phrog_58027	NA
phrog_58028	NA
phrog_58029	NA
phrog_58030	NA
phrog_58031	NA
phrog_58032	NA
phrog_58033	NA
phrog_58034	NA
phrog_58035	NA
phrog_58036	NA
phrog_58037	NA
phrog_58038	NA
phrog_58039	NA
phrog_58040	NA
phrog_58041	NA
phrog_58042	NA
phrog_58043	NA
phrog_58044	NA
phrog_58045	NA
phrog_58046	NA
phrog_58047	NA
phrog_58048	NA
phrog_58049	NA
phrog_58050	NA
phrog_58051	NA
phrog_58052	NA
phrog_58053	NA
phrog_58054	NA
phrog_58055	NA
phrog_58056	NA
phrog_58057	NA
phrog_58058	NA
phrog_58059	NA
phrog_58060	NA
phrog_58061	NA
phrog_58062	NA
phrog_58063	NA
phrog_58064	NA
phrog_58065	NA
phrog_58066	NA
phrog_58067	NA
phrog_58068	NA
phrog_58069	NA
phrog_58070	NA
phrog_58071	NA
phrog_58072	NA
phrog_58073	NA
phrog_58074	NA
phrog_58075	cro-like repressor
phrog_58076	NA
phrog_58077	NA
phrog_58078	NA
phrog_58079	NA
phrog_58080	NA
phrog_58081	NA
phrog_58082	NA
phrog_58083	NA
phrog_58084	NA
phrog_58085	NA
phrog_58086	NA
phrog_58087	NA
phrog_58088	NA
phrog_58089	NA
phrog_58090	MoxR-like ATPase
phrog_58091	NA
phrog_58092	NA
phrog_58093	NA
phrog_58094	NA
phrog_58095	NA
phrog_58096	NA
phrog_58097	NA
phrog_58098	NA
phrog_58099	NA
phrog_58100	NA
phrog_58101	NA
phrog_58102	NA
phrog_58103	NA
phrog_58104	NA
phrog_58105	NA
phrog_58106	NA
phrog_58107	NA
phrog_58108	NA
phrog_58109	NA
phrog_58110	NA
phrog_58111	NA
phrog_58112	NA
phrog_58113	NA
phrog_58114	NA
phrog_58115	NA
phrog_58116	NA
phrog_58117	NA
phrog_58118	NA
phrog_58119	NA
phrog_58120	NA
phrog_58121	NA
phrog_58122	NA
phrog_58123	NA
phrog_58124	NA
phrog_58125	NA
phrog_58126	NA
phrog_58127	NA
phrog_58128	NA
phrog_58129	NA
phrog_58130	NA
phrog_58131	NA
phrog_58132	NA
phrog_58133	NA
phrog_58134	NA
phrog_58135	NA
phrog_58136	NA
phrog_58137	NA
phrog_58138	NA
phrog_58139	NA
phrog_58140	NA
phrog_58141	NA
phrog_58142	NA
phrog_58143	NA
phrog_58144	NA
phrog_58145	NA
phrog_58146	NA
phrog_58147	NA
phrog_58148	NA
phrog_58149	NA
phrog_58150	NA
phrog_58151	NA
phrog_58152	NA
phrog_58153	NA
phrog_58154	NA
phrog_58155	NA
phrog_58156	NA
phrog_58157	NA
phrog_58158	NA
phrog_58159	NA
phrog_58160	NA
phrog_58161	NA
phrog_58162	NA
phrog_58163	NA
phrog_58164	NA
phrog_58165	NA
phrog_58166	NA
phrog_58167	NA
phrog_58168	NA
phrog_58169	NA
phrog_58170	NA
phrog_58171	NA
phrog_58172	NA
phrog_58173	NA
phrog_58174	NA
phrog_58175	NA
phrog_58176	NA
phrog_58177	NA
phrog_58178	NA
phrog_58179	NA
phrog_58180	NA
phrog_58181	NA
phrog_58182	NA
phrog_58183	NA
phrog_58184	NA
phrog_58185	NA
phrog_58186	NA
phrog_58187	NA
phrog_58188	NA
phrog_58189	NA
phrog_58190	NA
phrog_58191	NA
phrog_58192	NA
phrog_58193	NA
phrog_58194	NA
phrog_58195	NA
phrog_58196	NA
phrog_58197	NA
phrog_58198	NA
phrog_58199	NA
phrog_58200	NA
phrog_58201	NA
phrog_58202	NA
phrog_58203	NA
phrog_58204	NA
phrog_58205	NA
phrog_58206	NA
phrog_58207	NA
phrog_58208	NA
phrog_58209	NA
phrog_58210	NA
phrog_58211	NA
phrog_58212	NA
phrog_58213	NA
phrog_58214	NA
phrog_58215	NA
phrog_58216	NA
phrog_58217	NA
phrog_58218	NA
phrog_58219	NA
phrog_58220	NA
phrog_58221	NA
phrog_58222	NA
phrog_58223	NA
phrog_58224	NA
phrog_58225	NA
phrog_58226	NA
phrog_58227	NA
phrog_58228	NA
phrog_58229	NA
phrog_58230	NA
phrog_58231	NA
phrog_58232	NA
phrog_58233	NA
phrog_58234	NA
phrog_58235	NA
phrog_58236	NA
phrog_58237	NA
phrog_58238	NA
phrog_58239	NA
phrog_58240	NA
phrog_58241	NA
phrog_58242	NA
phrog_58243	NA
phrog_58244	NA
phrog_58245	NA
phrog_58246	NA
phrog_58247	NA
phrog_58248	NA
phrog_58249	NA
phrog_58250	NA
phrog_58251	NA
phrog_58252	NA
phrog_58253	NA
phrog_58254	NA
phrog_58255	NA
phrog_58256	NA
phrog_58257	NA
phrog_58258	NA
phrog_58259	NA
phrog_58260	NA
phrog_58261	NA
phrog_58262	NA
phrog_58263	NA
phrog_58264	NA
phrog_58265	NA
phrog_58266	NA
phrog_58267	NA
phrog_58268	NA
phrog_58269	NA
phrog_58270	NA
phrog_58271	NA
phrog_58272	NA
phrog_58273	NA
phrog_58274	NA
phrog_58275	NA
phrog_58276	NA
phrog_58277	NA
phrog_58278	NA
phrog_58279	NA
phrog_58280	NA
phrog_58281	NA
phrog_58282	NA
phrog_58283	NA
phrog_58284	NA
phrog_58285	NA
phrog_58286	NA
phrog_58287	NA
phrog_58288	NA
phrog_58289	NA
phrog_58290	NA
phrog_58291	NA
phrog_58292	NA
phrog_58293	NA
phrog_58294	NA
phrog_58295	NA
phrog_58296	NA
phrog_58297	NA
phrog_58298	NA
phrog_58299	NA
phrog_58300	NA
phrog_58301	NA
phrog_58302	NA
phrog_58303	NA
phrog_58304	NA
phrog_58305	NA
phrog_58306	NA
phrog_58307	NA
phrog_58308	NA
phrog_58309	NA
phrog_58310	NA
phrog_58311	NA
phrog_58312	NA
phrog_58313	NA
phrog_58314	NA
phrog_58315	NA
phrog_58316	NA
phrog_58317	NA
phrog_58318	NA
phrog_58319	NA
phrog_58320	NA
phrog_58321	NA
phrog_58322	NA
phrog_58323	NA
phrog_58324	NA
phrog_58325	NA
phrog_58326	NA
phrog_58327	NA
phrog_58328	NA
phrog_58329	NA
phrog_58330	NA
phrog_58331	NA
phrog_58332	NA
phrog_58333	NA
phrog_58334	NA
phrog_58335	NA
phrog_58336	NA
phrog_58337	NA
phrog_58338	NA
phrog_58339	NA
phrog_58340	NA
phrog_58341	NA
phrog_58342	NA
phrog_58343	NA
phrog_58344	NA
phrog_58345	NA
phrog_58346	NA
phrog_58347	NA
phrog_58348	NA
phrog_58349	NA
phrog_58350	NA
phrog_58351	NA
phrog_58352	NA
phrog_58353	NA
phrog_58354	NA
phrog_58355	NA
phrog_58356	NA
phrog_58357	NA
phrog_58358	NA
phrog_58359	NA
phrog_58360	NA
phrog_58361	NA
phrog_58362	NA
phrog_58363	NA
phrog_58364	NA
phrog_58365	NA
phrog_58366	NA
phrog_58367	NA
phrog_58368	NA
phrog_58369	NA
phrog_58370	NA
phrog_58371	NA
phrog_58372	NA
phrog_58373	NA
phrog_58374	NA
phrog_58375	NA
phrog_58376	NA
phrog_58377	NA
phrog_58378	NA
phrog_58379	DNA polymerase
phrog_58380	NA
phrog_58381	NA
phrog_58382	NA
phrog_58383	NA
phrog_58384	NA
phrog_58385	NA
phrog_58386	NA
phrog_58387	NA
phrog_58388	NA
phrog_58389	NA
phrog_58390	NA
phrog_58391	NA
phrog_58392	NA
phrog_58393	NA
phrog_58394	NA
phrog_58395	NA
phrog_58396	NA
phrog_58397	NA
phrog_58398	NA
phrog_58399	NA
phrog_58400	NA
phrog_58401	NA
phrog_58402	NA
phrog_58403	NA
phrog_58404	NA
phrog_58405	NA
phrog_58406	NA
phrog_58407	NA
phrog_58408	NA
phrog_58409	NA
phrog_58410	NA
phrog_58411	NA
phrog_58412	NA
phrog_58413	NA
phrog_58414	NA
phrog_58415	NA
phrog_58416	NA
phrog_58417	NA
phrog_58418	NA
phrog_58419	NA
phrog_58420	NA
phrog_58421	NA
phrog_58422	NA
phrog_58423	NA
phrog_58424	NA
phrog_58425	NA
phrog_58426	NA
phrog_58427	NA
phrog_58428	NA
phrog_58429	NA
phrog_58430	NA
phrog_58431	NA
phrog_58432	NA
phrog_58433	NA
phrog_58434	NA
phrog_58435	NA
phrog_58436	NA
phrog_58437	NA
phrog_58438	NA
phrog_58439	NA
phrog_58440	NA
phrog_58441	NA
phrog_58442	NA
phrog_58443	NA
phrog_58444	NA
phrog_58445	NA
phrog_58446	NA
phrog_58447	NA
phrog_58448	NA
phrog_58449	NA
phrog_58450	NA
phrog_58451	NA
phrog_58452	NA
phrog_58453	NA
phrog_58454	NA
phrog_58455	NA
phrog_58456	NA
phrog_58457	NA
phrog_58458	NA
phrog_58459	NA
phrog_58460	NA
phrog_58461	NA
phrog_58462	NA
phrog_58463	NA
phrog_58464	NA
phrog_58465	NA
phrog_58466	NA
phrog_58467	NA
phrog_58468	NA
phrog_58469	NA
phrog_58470	NA
phrog_58471	NA
phrog_58472	NA
phrog_58473	NA
phrog_58474	NA
phrog_58475	NA
phrog_58476	NA
phrog_58477	NA
phrog_58478	NA
phrog_58479	NA
phrog_58480	NA
phrog_58481	NA
phrog_58482	NA
phrog_58483	NA
phrog_58484	NA
phrog_58485	NA
phrog_58486	NA
phrog_58487	NA
phrog_58488	NA
phrog_58489	NA
phrog_58490	NA
phrog_58491	NA
phrog_58492	NA
phrog_58493	NA
phrog_58494	NA
phrog_58495	NA
phrog_58496	NA
phrog_58497	NA
phrog_58498	NA
phrog_58499	NA
phrog_58500	NA
phrog_58501	NA
phrog_58502	NA
phrog_58503	NA
phrog_58504	NA
phrog_58505	NA
phrog_58506	NA
phrog_58507	NA
phrog_58508	NA
phrog_58509	NA
phrog_58510	NA
phrog_58511	NA
phrog_58512	NA
phrog_58513	NA
phrog_58514	NA
phrog_58515	NA
phrog_58516	NA
phrog_58517	NA
phrog_58518	NA
phrog_58519	NA
phrog_58520	NA
phrog_58521	NA
phrog_58522	NA
phrog_58523	NA
phrog_58524	NA
phrog_58525	NA
phrog_58526	NA
phrog_58527	NA
phrog_58528	NA
phrog_58529	NA
phrog_58530	NA
phrog_58531	NA
phrog_58532	NA
phrog_58533	NA
phrog_58534	NA
phrog_58535	NA
phrog_58536	NA
phrog_58537	NA
phrog_58538	NA
phrog_58539	NA
phrog_58540	NA
phrog_58541	NA
phrog_58542	NA
phrog_58543	NA
phrog_58544	NA
phrog_58545	NA
phrog_58546	NA
phrog_58547	NA
phrog_58548	NA
phrog_58549	NA
phrog_58550	NA
phrog_58551	NA
phrog_58552	NA
phrog_58553	NA
phrog_58554	NA
phrog_58555	NA
phrog_58556	NA
phrog_58557	NA
phrog_58558	NA
phrog_58559	NA
phrog_58560	NA
phrog_58561	NA
phrog_58562	NA
phrog_58563	NA
phrog_58564	NA
phrog_58565	NA
phrog_58566	NA
phrog_58567	NA
phrog_58568	NA
phrog_58569	NA
phrog_58570	NA
phrog_58571	NA
phrog_58572	NA
phrog_58573	NA
phrog_58574	NA
phrog_58575	Ig domain containing protein
phrog_58576	NA
phrog_58577	NA
phrog_58578	NA
phrog_58579	NA
phrog_58580	NA
phrog_58581	NA
phrog_58582	NA
phrog_58583	NA
phrog_58584	NA
phrog_58585	NA
phrog_58586	NA
phrog_58587	NA
phrog_58588	NA
phrog_58589	ATPase
phrog_58590	NA
phrog_58591	NA
phrog_58592	NA
phrog_58593	NA
phrog_58594	NA
phrog_58595	NA
phrog_58596	NA
phrog_58597	NA
phrog_58598	NA
phrog_58599	NA
phrog_58600	NA
phrog_58601	NA
phrog_58602	NA
phrog_58603	NA
phrog_58604	NA
phrog_58605	NA
phrog_58606	NA
phrog_58607	NA
phrog_58608	NA
phrog_58609	NA
phrog_58610	NA
phrog_58611	NA
phrog_58612	NA
phrog_58613	NA
phrog_58614	NA
phrog_58615	NA
phrog_58616	NA
phrog_58617	NA
phrog_58618	NA
phrog_58619	NA
phrog_58620	NA
phrog_58621	NA
phrog_58622	NA
phrog_58623	NA
phrog_58624	NA
phrog_58625	NA
phrog_58626	NA
phrog_58627	NA
phrog_58628	NA
phrog_58629	NA
phrog_58630	NA
phrog_58631	NA
phrog_58632	NA
phrog_58633	NA
phrog_58634	NA
phrog_58635	NA
phrog_58636	NA
phrog_58637	NA
phrog_58638	NA
phrog_58639	NA
phrog_58640	NA
phrog_58641	NA
phrog_58642	NA
phrog_58643	NA
phrog_58644	NA
phrog_58645	NA
phrog_58646	NA
phrog_58647	NA
phrog_58648	NA
phrog_58649	NA
phrog_58650	NA
phrog_58651	NA
phrog_58652	NA
phrog_58653	NA
phrog_58654	NA
phrog_58655	NA
phrog_58656	NA
phrog_58657	NA
phrog_58658	NA
phrog_58659	NA
phrog_58660	NA
phrog_58661	NA
phrog_58662	NA
phrog_58663	NA
phrog_58664	NA
phrog_58665	NA
phrog_58666	NA
phrog_58667	NA
phrog_58668	NA
phrog_58669	NA
phrog_58670	NA
phrog_58671	NA
phrog_58672	NA
phrog_58673	NA
phrog_58674	NA
phrog_58675	NA
phrog_58676	NA
phrog_58677	NA
phrog_58678	NA
phrog_58679	NA
phrog_58680	NA
phrog_58681	NA
phrog_58682	NA
phrog_58683	NA
phrog_58684	NA
phrog_58685	NA
phrog_58686	NA
phrog_58687	NA
phrog_58688	NA
phrog_58689	NA
phrog_58690	NA
phrog_58691	NA
phrog_58692	NA
phrog_58693	NA
phrog_58694	NA
phrog_58695	NA
phrog_58696	NA
phrog_58697	NA
phrog_58698	NA
phrog_58699	NA
phrog_58700	NA
phrog_58701	NA
phrog_58702	NA
phrog_58703	NA
phrog_58704	NA
phrog_58705	NA
phrog_58706	NA
phrog_58707	NA
phrog_58708	NA
phrog_58709	NA
phrog_58710	NA
phrog_58711	NA
phrog_58712	NA
phrog_58713	NA
phrog_58714	NA
phrog_58715	NA
phrog_58716	NA
phrog_58717	NA
phrog_58718	NA
phrog_58719	NA
phrog_58720	NA
phrog_58721	NA
phrog_58722	NA
phrog_58723	NA
phrog_58724	NA
phrog_58725	NA
phrog_58726	NA
phrog_58727	NA
phrog_58728	NA
phrog_58729	NA
phrog_58730	NA
phrog_58731	NA
phrog_58732	NA
phrog_58733	NA
phrog_58734	NA
phrog_58735	NA
phrog_58736	NA
phrog_58737	NA
phrog_58738	NA
phrog_58739	NA
phrog_58740	NA
phrog_58741	NA
phrog_58742	NA
phrog_58743	NA
phrog_58744	NA
phrog_58745	NA
phrog_58746	NA
phrog_58747	NA
phrog_58748	NA
phrog_58749	NA
phrog_58750	NA
phrog_58751	NA
phrog_58752	NA
phrog_58753	NA
phrog_58754	NA
phrog_58755	NA
phrog_58756	NA
phrog_58757	NA
phrog_58758	NA
phrog_58759	NA
phrog_58760	NA
phrog_58761	NA
phrog_58762	NA
phrog_58763	NA
phrog_58764	NA
phrog_58765	NA
phrog_58766	NA
phrog_58767	NA
phrog_58768	NA
phrog_58769	NA
phrog_58770	NA
phrog_58771	NA
phrog_58772	NA
phrog_58773	NA
phrog_58774	NA
phrog_58775	NA
phrog_58776	NA
phrog_58777	NA
phrog_58778	NA
phrog_58779	NA
phrog_58780	NA
phrog_58781	NA
phrog_58782	NA
phrog_58783	NA
phrog_58784	thioredoxin domain
phrog_58785	NA
phrog_58786	NA
phrog_58787	NA
phrog_58788	NA
phrog_58789	NA
phrog_58790	NA
phrog_58791	NA
phrog_58792	NA
phrog_58793	NA
phrog_58794	NA
phrog_58795	NA
phrog_58796	NA
phrog_58797	NA
phrog_58798	NA
phrog_58799	NA
phrog_58800	NA
phrog_58801	NA
phrog_58802	NA
phrog_58803	NA
phrog_58804	NA
phrog_58805	NA
phrog_58806	NA
phrog_58807	NA
phrog_58808	NA
phrog_58809	NA
phrog_58810	NA
phrog_58811	NA
phrog_58812	NA
phrog_58813	NA
phrog_58814	NA
phrog_58815	NA
phrog_58816	NA
phrog_58817	NA
phrog_58818	NA
phrog_58819	NA
phrog_58820	NA
phrog_58821	NA
phrog_58822	NA
phrog_58823	NA
phrog_58824	NA
phrog_58825	NA
phrog_58826	NA
phrog_58827	NA
phrog_58828	NA
phrog_58829	NA
phrog_58830	NA
phrog_58831	NA
phrog_58832	NA
phrog_58833	NA
phrog_58834	NA
phrog_58835	NA
phrog_58836	NA
phrog_58837	NA
phrog_58838	NA
phrog_58839	NA
phrog_58840	NA
phrog_58841	NA
phrog_58842	NA
phrog_58843	NA
phrog_58844	NA
phrog_58845	NA
phrog_58846	NA
phrog_58847	NA
phrog_58848	NA
phrog_58849	NA
phrog_58850	NA
phrog_58851	NA
phrog_58852	NA
phrog_58853	NA
phrog_58854	NA
phrog_58855	NA
phrog_58856	NA
phrog_58857	NA
phrog_58858	NA
phrog_58859	NA
phrog_58860	NA
phrog_58861	NA
phrog_58862	NA
phrog_58863	NA
phrog_58864	NA
phrog_58865	NA
phrog_58866	NA
phrog_58867	NA
phrog_58868	NA
phrog_58869	NA
phrog_58870	NA
phrog_58871	NA
phrog_58872	NA
phrog_58873	NA
phrog_58874	NA
phrog_58875	NA
phrog_58876	NA
phrog_58877	NA
phrog_58878	NA
phrog_58879	NA
phrog_58880	NA
phrog_58881	NA
phrog_58882	NA
phrog_58883	NA
phrog_58884	NA
phrog_58885	NA
phrog_58886	NA
phrog_58887	NA
phrog_58888	NA
phrog_58889	NA
phrog_58890	NA
phrog_58891	NA
phrog_58892	NA
phrog_58893	NA
phrog_58894	NA
phrog_58895	NA
phrog_58896	NA
phrog_58897	NA
phrog_58898	NA
phrog_58899	NA
phrog_58900	NA
phrog_58901	NA
phrog_58902	NA
phrog_58903	NA
phrog_58904	NA
phrog_58905	NA
phrog_58906	NA
phrog_58907	NA
phrog_58908	NA
phrog_58909	NA
phrog_58910	NA
phrog_58911	NA
phrog_58912	NA
phrog_58913	NA
phrog_58914	NA
phrog_58915	NA
phrog_58916	NA
phrog_58917	NA
phrog_58918	NA
phrog_58919	NA
phrog_58920	NA
phrog_58921	NA
phrog_58922	NA
phrog_58923	NA
phrog_58924	NA
phrog_58925	NA
phrog_58926	NA
phrog_58927	NA
phrog_58928	NA
phrog_58929	NA
phrog_58930	NA
phrog_58931	NA
phrog_58932	NA
phrog_58933	NA
phrog_58934	NA
phrog_58935	NA
phrog_58936	NA
phrog_58937	NA
phrog_58938	NA
phrog_58939	NA
phrog_58940	NA
phrog_58941	NA
phrog_58942	NA
phrog_58943	NA
phrog_58944	NA
phrog_58945	NA
phrog_58946	NA
phrog_58947	NA
phrog_58948	NA
phrog_58949	NA
phrog_58950	NA
phrog_58951	NA
phrog_58952	NA
phrog_58953	NA
phrog_58954	NA
phrog_58955	NA
phrog_58956	NA
phrog_58957	NA
phrog_58958	NA
phrog_58959	NA
phrog_58960	NA
phrog_58961	NA
phrog_58962	NA
phrog_58963	NA
phrog_58964	NA
phrog_58965	NA
phrog_58966	NA
phrog_58967	NA
phrog_58968	NA
phrog_58969	NA
phrog_58970	NA
phrog_58971	NA
phrog_58972	NA
phrog_58973	NA
phrog_58974	NA
phrog_58975	NA
phrog_58976	NA
phrog_58977	NA
phrog_58978	NA
phrog_58979	NA
phrog_58980	NA
phrog_58981	NA
phrog_58982	NA
phrog_58983	NA
phrog_58984	NA
phrog_58985	NA
phrog_58986	NA
phrog_58987	NA
phrog_58988	NA
phrog_58989	NA
phrog_58990	NA
phrog_58991	NA
phrog_58992	NA
phrog_58993	NA
phrog_58994	NA
phrog_58995	NA
phrog_58996	NA
phrog_58997	NA
phrog_58998	NA
phrog_58999	NA
phrog_59000	NA
phrog_59001	NA
phrog_59002	NA
phrog_59003	NA
phrog_59004	NA
phrog_59005	NA
phrog_59006	NA
phrog_59007	NA
phrog_59008	NA
phrog_59009	NA
phrog_59010	NA
phrog_59011	NA
phrog_59012	NA
phrog_59013	NA
phrog_59014	NA
phrog_59015	NA
phrog_59016	DNA binding protein
phrog_59017	NA
phrog_59018	NA
phrog_59019	NA
phrog_59020	NA
phrog_59021	NA
phrog_59022	NA
phrog_59023	NA
phrog_59024	NA
phrog_59025	NA
phrog_59026	NA
phrog_59027	NA
phrog_59028	NA
phrog_59029	NA
phrog_59030	NA
phrog_59031	NA
phrog_59032	NA
phrog_59033	NA
phrog_59034	NA
phrog_59035	NA
phrog_59036	NA
phrog_59037	NA
phrog_59038	NA
phrog_59039	NA
phrog_59040	NA
phrog_59041	NA
phrog_59042	NA
phrog_59043	NA
phrog_59044	NA
phrog_59045	NA
phrog_59046	NA
phrog_59047	NA
phrog_59048	NA
phrog_59049	NA
phrog_59050	NA
phrog_59051	NA
phrog_59052	NA
phrog_59053	NA
phrog_59054	NA
phrog_59055	NA
phrog_59056	NA
phrog_59057	NA
phrog_59058	NA
phrog_59059	NA
phrog_59060	NA
phrog_59061	NA
phrog_59062	NA
phrog_59063	NA
phrog_59064	NA
phrog_59065	NA
phrog_59066	NA
phrog_59067	NA
phrog_59068	NA
phrog_59069	NA
phrog_59070	NA
phrog_59071	NA
phrog_59072	NA
phrog_59073	NA
phrog_59074	NA
phrog_59075	NA
phrog_59076	NA
phrog_59077	NA
phrog_59078	NA
phrog_59079	NA
phrog_59080	NA
phrog_59081	NA
phrog_59082	NA
phrog_59083	NA
phrog_59084	NA
phrog_59085	NA
phrog_59086	NA
phrog_59087	NA
phrog_59088	NA
phrog_59089	NA
phrog_59090	NA
phrog_59091	NA
phrog_59092	NA
phrog_59093	NA
phrog_59094	NA
phrog_59095	NA
phrog_59096	NA
phrog_59097	NA
phrog_59098	NA
phrog_59099	NA
phrog_59100	NA
phrog_59101	NA
phrog_59102	NA
phrog_59103	NA
phrog_59104	NA
phrog_59105	NA
phrog_59106	NA
phrog_59107	NA
phrog_59108	NA
phrog_59109	NA
phrog_59110	NA
phrog_59111	NA
phrog_59112	NA
phrog_59113	NA
phrog_59114	NA
phrog_59115	NA
phrog_59116	NA
phrog_59117	NA
phrog_59118	NA
phrog_59119	NA
phrog_59120	NA
phrog_59121	NA
phrog_59122	NA
phrog_59123	NA
phrog_59124	NA
phrog_59125	NA
phrog_59126	NA
phrog_59127	NA
phrog_59128	NA
phrog_59129	NA
phrog_59130	NA
phrog_59131	NA
phrog_59132	NA
phrog_59133	NA
phrog_59134	NA
phrog_59135	NA
phrog_59136	NA
phrog_59137	NA
phrog_59138	NA
phrog_59139	NA
phrog_59140	NA
phrog_59141	NA
phrog_59142	NA
phrog_59143	NA
phrog_59144	NA
phrog_59145	NA
phrog_59146	NA
phrog_59147	NA
phrog_59148	NA
phrog_59149	NA
phrog_59150	NA
phrog_59151	NA
phrog_59152	NA
phrog_59153	NA
phrog_59154	NA
phrog_59155	NA
phrog_59156	NA
phrog_59157	NA
phrog_59158	NA
phrog_59159	NA
phrog_59160	NA
phrog_59161	NA
phrog_59162	NA
phrog_59163	NA
phrog_59164	NA
phrog_59165	NA
phrog_59166	NA
phrog_59167	NA
phrog_59168	NA
phrog_59169	NA
phrog_59170	NA
phrog_59171	NA
phrog_59172	NA
phrog_59173	NA
phrog_59174	NA
phrog_59175	NA
phrog_59176	NA
phrog_59177	NA
phrog_59178	NA
phrog_59179	NA
phrog_59180	NA
phrog_59181	NA
phrog_59182	NA
phrog_59183	NA
phrog_59184	NA
phrog_59185	NA
phrog_59186	NA
phrog_59187	NA
phrog_59188	NA
phrog_59189	NA
phrog_59190	NA
phrog_59191	NA
phrog_59192	NA
phrog_59193	NA
phrog_59194	NA
phrog_59195	NA
phrog_59196	NA
phrog_59197	NA
phrog_59198	NA
phrog_59199	NA
phrog_59200	NA
phrog_59201	NA
phrog_59202	NA
phrog_59203	NA
phrog_59204	NA
phrog_59205	NA
phrog_59206	NA
phrog_59207	NA
phrog_59208	NA
phrog_59209	NA
phrog_59210	NA
phrog_59211	NA
phrog_59212	NA
phrog_59213	NA
phrog_59214	NA
phrog_59215	NA
phrog_59216	NA
phrog_59217	NA
