phrog_phrog	annot
phrog_342	internal virion protein with endolysin domain
phrog_343	NA
phrog_344	tail assembly chaperone
phrog_345	replication initiation O-like
phrog_346	minor tail protein
phrog_347	tail terminator
phrog_348	minor head protein
phrog_349	virion structural protein
phrog_350	tail protein
phrog_351	RNA polymerase sigma factor
phrog_352	minor tail protein
phrog_353	toxin
phrog_354	sigma-K factor
phrog_355	nucleoside 2-deoxyribosyltransferase
phrog_356	minor tail protein
phrog_357	transcriptional repressor
phrog_358	NA
phrog_359	DNA methyltransferase
phrog_360	DNA primase
phrog_361	terminase small subunit
phrog_362	transcriptional repressor
phrog_363	DNA methyltransferase
phrog_364	ribonucleoside reductase class II
phrog_365	tail protein
phrog_366	tail fiber protein
phrog_367	ribonucleotide reductase
phrog_368	NA
phrog_369	NA
phrog_370	terminase small subunit
phrog_371	major head protein
phrog_372	tail protein
phrog_373	anti-repressor
phrog_374	HNH endonuclease
phrog_375	Phd-like antitoxin
phrog_376	tail protein
phrog_377	anti-repressor Ant
phrog_378	single strand DNA binding protein
phrog_379	DNA binding protein
phrog_380	endolysin
phrog_381	tail fiber protein
phrog_382	minor tail protein with lysin activity
phrog_383	NA
phrog_384	virion structural protein
phrog_385	transcriptional regulator
phrog_386	NA
phrog_387	neck protein
phrog_388	nucleotidyltransferase
phrog_389	tail protein XkdN-like
phrog_390	Arc-like repressor
phrog_391	replication initiation O-like
phrog_392	metal-dependent hydrolase
phrog_393	tail assembly chaperone
phrog_394	tail protein
phrog_395	cytidyltransferase
phrog_396	minor tail protein
phrog_397	NA
phrog_398	NA
phrog_399	structural protein
phrog_400	tail protein
phrog_401	NA
phrog_402	NA
phrog_403	DNA polymerase exonuclease subunit
phrog_404	minor tail protein
phrog_405	DNA polymerase
phrog_406	NA
phrog_407	NA
phrog_408	NA
phrog_409	transcriptional regulator
phrog_410	NA
phrog_411	NA
phrog_412	exonuclease VIII
phrog_413	head protein
phrog_414	RNA polymerase
phrog_415	polynucleotide kinase
phrog_416	minor tail protein
phrog_417	NA
phrog_418	internal virion protein
phrog_419	NA
phrog_420	unknown function
phrog_421	unknown function
phrog_422	major head protein
phrog_423	endonuclease VII
phrog_424	phosphoadenosine phosphosulfate reductase
phrog_425	membrane associated protein
phrog_426	terminase small subunit
phrog_427	NA
phrog_428	replication initiation protein
phrog_429	DNA end protector
phrog_430	baseplate hub subunit and tail lysozyme
phrog_431	NA
phrog_432	Hsp20 heat shock protein
phrog_433	NA
phrog_434	RecE-like recombination exonuclease
phrog_435	endolysin
phrog_436	NA
phrog_437	virion structural protein
phrog_438	baseplate wedge subunit
phrog_439	site-specific recombination directionality factor RDF
phrog_440	transaldolase
phrog_441	tail assembly chaperone
phrog_442	head-tail adaptor
phrog_443	holin
phrog_444	NA
phrog_445	terminase small subunit
phrog_446	tail protein
phrog_447	NAD synthetase
phrog_448	nicotinamide phosphoribosyl transferase
phrog_449	head-tail adaptor
phrog_450	NA
phrog_451	NA
phrog_452	endonuclease
phrog_453	replication initiation protein
phrog_454	tail fiber protein
phrog_455	NA
phrog_456	Rz-like spanin
phrog_457	tail protein
phrog_458	protease
phrog_459	peptidase
phrog_460	head closure Hc2
phrog_461	NA
phrog_462	lipoprotein
phrog_463	anti-repressor
phrog_464	unknown function
phrog_465	endolysin
phrog_466	exonuclease
phrog_467	NA
phrog_468	NA
phrog_469	tail protein
phrog_470	NA
phrog_471	methylamine utilization
phrog_472	WhiB transcriptional factor
phrog_473	virion structural protein
phrog_474	phosphofructokinase
phrog_475	NA
phrog_476	major tail protein
phrog_477	head-tail adaptor Ad1
phrog_478	site-specific recombination directionality factor RDF
phrog_479	NA
phrog_480	NA
phrog_481	NA
phrog_482	NA
phrog_483	NA
phrog_484	NA
phrog_485	NA
phrog_486	virion structural protein
phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit
phrog_488	CpeT-like antenna protein
phrog_489	endolysin
phrog_490	portal protein
phrog_491	Mu Gam-like end protection
phrog_492	NA
phrog_493	head-tail adaptor Ad1
phrog_494	NA
phrog_495	NA
phrog_496	tail fiber protein
phrog_497	toxin-antitoxin system HicB-like
phrog_498	DNA methyltransferase
phrog_499	NA
phrog_500	NA
phrog_501	head closure Hc1
phrog_502	membrane protein
phrog_503	NA
phrog_504	NA
phrog_505	polynucleotide kinase
phrog_506	transposase
phrog_507	NA
phrog_508	tail assembly chaperone
phrog_509	terminase small subunit
phrog_510	DNA primase
phrog_511	internal virion protein
phrog_512	NA
phrog_513	transposase
phrog_514	major head protein
phrog_515	PetE plastocyanine
phrog_516	NA
phrog_517	HTH DNA binding protein
phrog_518	Rha-like transcriptional regulator
phrog_519	NA
phrog_520	NA
phrog_521	tail protein
phrog_522	NA
phrog_523	tail collar fiber protein
phrog_524	anti-repressor Ant
phrog_525	NA
phrog_526	holin
phrog_527	NA
phrog_528	NA
phrog_529	tail fiber protein
phrog_530	head maturation protease
phrog_531	Rnase H
phrog_532	late transcriptional activator
phrog_533	portal protein
phrog_534	DNA binding protein
phrog_535	NA
phrog_536	transcriptional regulator
phrog_537	portal protein
phrog_538	minor tail protein
phrog_539	excisionase
phrog_540	nucleotide-sugar epimerase
phrog_541	head-tail adaptor
phrog_542	NA
phrog_543	DNA topoisomerase II large subunit
phrog_544	major head protein
phrog_545	NA
phrog_546	NA
phrog_547	phosphoesterase
phrog_548	RNA ligase
phrog_549	NA
phrog_550	CIII anti-termination
phrog_551	DNA topoisomerase II
phrog_552	NA
phrog_553	minor tail protein
phrog_554	NA
phrog_555	NA
phrog_556	minor head protein
phrog_557	outer membrane protein
phrog_558	NA
phrog_559	HNH endonuclease
phrog_560	NA
phrog_561	RecT-like ssDNA annealing protein
phrog_562	RNA ligase and tail fiber protein attachment catalyst
phrog_563	virion structural protein
phrog_564	NA
phrog_565	holin
phrog_566	NA
phrog_567	NA
phrog_568	plasmid stability
phrog_569	tail length tape measure protein
phrog_570	NA
phrog_571	NA
phrog_572	NA
phrog_573	NA
phrog_574	NA
phrog_575	Cox-like excisionase and repressor
phrog_576	tail fiber protein
phrog_577	Doc-like toxin
phrog_578	head closure Hc3
phrog_579	NA
phrog_580	NA
phrog_581	minor head protein
phrog_582	Arc-like repressor
phrog_583	NA
phrog_584	major tail protein
phrog_585	NA
phrog_586	NA
phrog_587	structural protein
phrog_588	tail fiber protein and host specificity
phrog_589	HNH endonuclease
phrog_590	NA
phrog_591	NA
phrog_592	thymidine kinase
phrog_593	NA
phrog_594	NA
phrog_595	head maturation protease
phrog_596	NA
phrog_597	DNA binding protein
phrog_598	DNA ejection
phrog_599	Lar-like restriction alleviation protein
phrog_600	unknown function
phrog_601	NA
phrog_602	NA
phrog_603	transcriptional regulator
phrog_604	NA
phrog_605	NA
phrog_606	terminase small subunit
phrog_607	exonuclease VII
phrog_608	holin
phrog_609	RIIB lysis inhibitor
phrog_610	NA
phrog_611	NA
phrog_612	RIIA lysis inhibitor
phrog_613	head protein
phrog_614	NA
phrog_615	head-tail adaptor
phrog_616	NA
phrog_617	major head protein
phrog_618	NA
phrog_619	ribose-phosphate pyrophosphokinase
phrog_620	ParB-like partition protein
phrog_621	tail assembly chaperone
phrog_622	unknown function
phrog_623	transposase
phrog_624	DNA binding protein
phrog_625	NA
phrog_626	anaerobic ribonucleotide reductase small subunit
phrog_627	NA
phrog_628	NA
phrog_629	excisionase
phrog_630	NA
phrog_631	NA
phrog_632	tellurite resistance
phrog_633	transcriptional regulator
phrog_634	baseplate hub assembly catalyst
phrog_635	endolysin
phrog_636	NA
phrog_637	head-tail adaptor Ad3
phrog_638	transcriptional regulator
phrog_639	transcriptional regulator
phrog_640	NA
phrog_641	terminase small subunit
phrog_642	NA
phrog_643	transcriptional regulator
phrog_644	NA
phrog_645	Rnase E
phrog_646	unknown function
phrog_647	NA
phrog_648	head scaffolding protein
phrog_649	NA
phrog_650	NA
phrog_651	head morphogenesis
phrog_652	NA
phrog_653	NA
phrog_654	NA
phrog_655	homing endonuclease
phrog_656	abc2 anti-RecBCD
phrog_657	NA
phrog_658	NA
phrog_659	Sak-like ssDNA annealing protein
phrog_660	NA
phrog_661	NA
phrog_662	NA
phrog_663	minor head protein
phrog_664	DNA binding protein
phrog_665	NA
phrog_666	NA
phrog_667	NA
phrog_668	HTH DNA binding protein
phrog_669	endolysin
phrog_670	endolysin
phrog_671	nucleotide pyrophosphohydrolase
phrog_672	NA
phrog_673	head scaffolding protein
phrog_674	NA
phrog_675	terminase large subunit
phrog_676	NA
phrog_677	baseplate wedge tail fiber protein connector
phrog_678	replication initiation O-like
phrog_679	head closure Hc2
phrog_680	tail length tape measure protein
phrog_681	endonuclease
phrog_682	NA
phrog_683	NA
phrog_684	virion structural protein
phrog_685	NA
phrog_686	HTH DNA binding protein
phrog_687	structural protein
phrog_688	transposase
phrog_689	holin
phrog_690	NA
phrog_691	partition protein
phrog_692	virion structural protein
phrog_693	tail fiber protein
phrog_694	baseplate hub and tail lysozyme
phrog_695	DNA polymerase/primase
phrog_696	major head protein
phrog_697	structural protein
phrog_698	NA
phrog_699	NA
phrog_700	endolysin
phrog_701	virion structural protein
phrog_702	replication protein
phrog_703	NA
phrog_704	DNA repair exonuclease
phrog_705	NA
phrog_706	NA
phrog_707	NA
phrog_708	baseplate wedge subunit
phrog_709	NA
phrog_710	NA
phrog_711	NA
phrog_712	NA
phrog_713	DNA replication initiation
phrog_714	NA
phrog_715	MazG-like pyrophosphatase
phrog_716	Na/K ATPase
phrog_717	NA
phrog_718	NA
phrog_719	baseplate wedge subunit
phrog_720	transposase
phrog_721	NA
phrog_722	NA
phrog_723	ParB-like partition protein
